Disease,Output,Causes,Symptoms,Remedies
Acne_and_Rosacea,You possibly have Rosacea,"No direct cause has been found, but research has pointed towards the most probable cause being that it is hereditary. A few triggers which make it worse are:
-Sunlight
-Stress
-Hot or Spicy food or drinks
-Alcohol and Caffeine","Symptoms are:
-Facial redness
-Flushing
-Burning sensation
-Dryness and irritation in the eye","Possible Remedies are
Apply to skin: Azelaic acid, Metronidazole
Medicines to take: Doxycycline, Minocycline, Erythromycin"
Actinic_Keratosis_Basal_Cell_Carcinoma_and_other_Malignant_Lesions,You possibly have Actinic Keratosis,"Causes are:
-Exposure to chemicals or radiation
-Weak Immune System
-Heredity","Symptoms are:
-Rough, scaly or crusty patches of skin
-Slight bumps on skin
-Colour variations -pink or brown
-Itching, burning, bleeding or oozing","Possible Remedies are 
Apply to skin: 5-fluorouracil(5-FU) cream, Imiquimod"
Atopic_Dermatitis,You possibly have Atopic Dermatitis,"Causes are:
-Allergen exposure or food allergies
-Reaction of skin to certain materials
-Hormonal changes","Symptoms are:
-Dry, itchy and scaly skin
-Redness and inflammation
-Rough and thick patches of skin","Possible Remedies are
Moisturizing skin regularly 
Apply to skin: Corticosteroids like Prednisone, Hydrocortisone
Medicines to take: Antihistamines like Cetirizine, Diphenhydramine"
Bullous_Disease,You possibly have Bullous Disease,"Causes are:
-Autoimmune disorders
-Infections
-Reaction to medication
-Genetic factors","Symptoms are:
-Fluid blisters on skin
-Redness and inflammation
-Open sores, thickened, scaly or crusty skin","Possible Remedies are 
Apply to skin: Corticosteroids like Prednisone, Hydrocortisone
Medicines to take: Immunosuppressants like Azathioprine, Methotrexate"
Cellulitis_Impetigo_and_other_Bacterial_Infections,You possibly have Cellulitis Impetigo,"Causes are:
-Bacterial infection
-Contact with affected individuals
-Poor hygiene","Symptoms are:
-Redness and inflammation with blisters
-Itching and burning, rashes too","Possible Remedies are 
Apply to skin: Mupriocin, Retapamulin
Medicines to take: Usually penicillin
Since these are antibiotics, it is best adviced to go to a healthcare professional"
Eczema,You possibly have Eczema,"Causes are:
-Allergen exposure or food allergies
-Reaction of skin to certain materials
-Hormonal changes","Symptoms are:
-Dry, itchy and scaly skin
-Redness and inflammation
-Rough and thick patches of skin","Possible Remedies are 
Apply to skin: eczema friendly moisturisers, petroleum jelly, relief creams
Medicines to take: "
Exanthems_and_Drug_Eruptions,You possibly have Exanthematous Drug Eruptions,"Causes are:
-Allergic reaction to medication, usually antibiotics or anticonvulsants","Symptoms are:
-Widespread rash
-Fever and fatigue","Possible Remedies are 
Discontinue using the drug causing the eruptions
Apply to skin: Cold Compress, Moisturizers, Corticosteroids like Prednisone, Hydrocortisone
Medicines to take: Ibuprofen, Paracetamol"
Hair_Loss_Alopecia_and_other_Hair_Diseases,You possibly have Alopecia,"Causes are:
-Autoimmune or hormonal disorders
-Genetics
-Side effect to medication","Symptoms are:
-Hair loss
-Change in nail appearance","Possible Remedies are 
Apply to skin: Minoxidil(scalp), Corticosteroids like Prednisone, Hydrocortisone
Medicines to take, only for males: Finasteride"
Herpes_HPV_and_other_STDs,You possibly have Herpes,"Causes are:
-Sexual contact with afflicted individual
-Stress, illness or fever can trigger it","Symptoms are:
-Small blisters
-Pain during urine discharge
-Itching and burning","Possible Remedies are
Apply to skin: Antiviral creams or ointments
Medicines to take: Acyclovir, Famciclovir, Valacyclovir"
Light_Diseases_and_Disorders_of_Pigmentation,You possibly have a Pigmentation Disorder,"Causes are:
-Genetics or underlying medical conditions
-Sun exposure
-Hormonal changes
-Side effect of medications","Symptoms are:
-Changes in skin colour
-Spots or patches
-Uneven skin tone","Possible Remedies are 
Apply to skin: Corticosteroids, Hydroquinone, Retinoids
Chemical peels can be used to exfoliate the top layer and reduce pigmentation"
Lupus_and_other_Connective_Tissue_diseases,You possibly have Lupus,"Causes are:
-Genetics
-Hormonal changes","Symptoms are:
-Fever, fatigue and weakness
-Rashes and inflammation
-Nausea and vomiting","Possible Remedies are
Apply to skin: Tacrolimus ointment
Medicine to take:
-Anti-inflammatory drugs like Aspirin, Ibuprofen
-Corticosteroids like Prednisone, Hydrocortisone
-Immunosuppressants like Azathioprine, Cyclophosphamide
-Biologics"
Melanoma_Skin_Cancer_Nevi_and_Moles,You possibly have Melanoma,"Symptoms are:
-New unusual growth on skin
-Change in appearance of an existing mole
-A sore that does not heal","Exact cause is not known, but exposure to radiation is a risk factor","Potentially skin cancer, kindly go to the nearest dermatologist as soon as possible"
Nail_Fungus_and_other_Nail_Disease,You possibly have Nail Fungus,"Causes are:
-Contact with afflicted individuals
-Poor hygiene","Symptoms are:
-Thickened, discoloured or brittle nails
-Yellow, brown or white discolouration
-Foul odour emanating from nail
-Pain and discomfort","Possible Remedies are 
Apply to skin: Ciclopirox, Amorolfine
Medicines to take: Itraconazole, Terbinafine"
